deviceID,userID,deviceUUID,deviceName,deviceType,osVersion,appVersion,fcmToken,isActive,lastSyncAt,lastActiveAt,createdAt
dev001,u002,550e8400-e29b-41d4-a716-446655440001,iPhone 13 của An,IOS,iOS 17.2,1.0.0,fcm_token_001,TRUE,2025-01-10T08:31:00Z,2025-01-10T09:30:00Z,2025-01-02T00:00:00Z
dev002,u003,550e8400-e29b-41d4-a716-446655440002,Samsung S21 của Bình,ANDROID,Android 13,1.0.0,fcm_token_002,TRUE,2025-01-10T12:16:00Z,2025-01-10T14:20:00Z,2025-01-02T00:00:00Z
dev003,u004,550e8400-e29b-41d4-a716-446655440003,iPhone 12,IOS,iOS 16.5,1.0.0,fcm_token_003,TRUE,2025-01-08T07:46:00Z,2025-01-08T11:15:00Z,2025-01-03T00:00:00Z
dev004,u005,550e8400-e29b-41d4-a716-446655440004,MacBook Pro,WEB,macOS 14,1.0.0,,TRUE,2025-01-06T10:31:00Z,2025-01-10T08:45:00Z,2025-01-03T00:00:00Z
dev005,u005,550e8400-e29b-41d4-a716-446655440005,iPad Pro,IOS,iPadOS 17,1.0.0,fcm_token_005,TRUE,2025-01-06T10:32:00Z,2025-01-09T15:20:00Z,2025-01-04T00:00:00Z
dev006,u007,550e8400-e29b-41d4-a716-446655440006,Xiaomi Redmi,ANDROID,Android 12,1.0.0,fcm_token_006,TRUE,2025-01-09T18:21:00Z,2025-01-10T07:20:00Z,2025-01-04T00:00:00Z
dev007,u008,550e8400-e29b-41d4-a716-446655440007,iPhone 14 Pro,IOS,iOS 17.3,1.0.0,fcm_token_007,TRUE,2025-01-07T15:01:00Z,2025-01-09T19:10:00Z,2025-01-05T00:00:00Z
dev008,u009,550e8400-e29b-41d4-a716-446655440008,Galaxy A52,ANDROID,Android 13,1.0.0,fcm_token_008,TRUE,2025-01-08T16:31:00Z,2025-01-10T06:50:00Z,2025-01-05T00:00:00Z
dev009,u002,550e8400-e29b-41d4-a716-446655440009,iPad Mini,IOS,iPadOS 16,1.0.0,fcm_token_009,FALSE,2025-01-02T10:00:00Z,2025-01-02T10:00:00Z,2025-01-02T00:00:00Z
dev010,u003,550e8400-e29b-41d4-a716-446655440010,Chrome Browser,WEB,Windows 11,1.0.0,,TRUE,2025-01-05T09:01:00Z,2025-01-09T16:30:00Z,2025-01-03T00:00:00Z