logID,userID,deviceID,syncTime,status,conflictDetails,tableName,recordID,action,createdAt
log001,u002,dev001,2025-01-10T08:31:00Z,SUCCESS,,transactions,txn001,CREATE,2025-01-10T08:31:00Z
log002,u002,dev001,2025-01-09T14:01:00Z,SUCCESS,,transactions,txn002,CREATE,2025-01-09T14:01:00Z
log003,u003,dev002,2025-01-10T12:16:00Z,SUCCESS,,transactions,txn003,CREATE,2025-01-10T12:16:00Z
log004,u003,dev002,2025-01-05T09:01:00Z,SUCCESS,,transactions,txn004,CREATE,2025-01-05T09:01:00Z
log005,u004,dev003,2025-01-08T07:46:00Z,SUCCESS,,transactions,txn005,CREATE,2025-01-08T07:46:00Z
log006,u005,dev004,2025-01-06T10:31:00Z,SUCCESS,,transactions,txn006,CREATE,2025-01-06T10:31:00Z
log007,u005,dev005,2025-01-06T10:32:00Z,CONFLICT,Amount mismatch: 5000000 vs 5500000,transactions,txn006,UPDATE,2025-01-06T10:32:00Z
log008,u007,dev006,2025-01-09T18:21:00Z,SUCCESS,,transactions,txn008,CREATE,2025-01-09T18:21:00Z
log009,u008,dev007,2025-01-07T15:01:00Z,SUCCESS,,transactions,txn009,CREATE,2025-01-07T15:01:00Z
log010,u009,dev008,2025-01-08T16:31:00Z,SUCCESS,,transactions,txn010,CREATE,2025-01-08T16:31:00Z